Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species
143	Spectrogram 1	1	145.368709682	145.485243152	2331.452	3358.871	4-added-channels.wav	GRCA
144	Spectrogram 1	1	145.765419367	145.822446384	3675.000	4900.000	4-added-channels.wav	AGOL
145	Spectrogram 1	1	146.709909455	146.905784862	2845.161	4465.323	4-added-channels.wav	EATO
146	Spectrogram 1	1	133.227077161	133.430390875	3358.871	4307.258	4-added-channels.wav	EATO
147	Spectrogram 1	1	140.994449860	141.026682522	3437.903	6559.677	4-added-channels.wav	EATO
148	Spectrogram 1	1	147.980974930	148.576039458	2252.419	4188.710	4-added-channels.wav	EATO
149	Spectrogram 1	1	149.084148891	149.163490828	3358.871	5453.226	4-added-channels.wav	AGOL
150	Spectrogram 1	1	149.539480076	149.656013546	2608.065	3951.613	4-added-channels.wav	EATO
151	Spectrogram 1	1	150.595719613	150.652746630	1778.226	2647.581	4-added-channels.wav	GRCA
152	Spectrogram 1	1	153.422810511	153.517029061	2963.710	3912.097	4-added-channels.wav	EATO
153	Spectrogram 1	1	153.623644789	153.725301646	4267.742	6796.774	4-added-channels.wav	RWBL
154	Spectrogram 1	1	155.399630447	155.488890126	3912.097	4900.000	4-added-channels.wav	AGOL
155	Spectrogram 1	1	157.064041506	157.225204815	4188.710	7033.871	4-added-channels.wav	COYE
156	Spectrogram 1	1	158.563925153	158.640787654	3398.387	5137.097	4-added-channels.wav	AGOL
157	Spectrogram 1	1	159.129236454	159.171386858	2845.161	3516.935	4-added-channels.wav	GRCA
158	Spectrogram 1	1	160.031576138	160.175383399	3516.935	4307.258	4-added-channels.wav	EATO
159	Spectrogram 1	1	160.438203565	160.579531391	2054.839	3398.387	4-added-channels.wav	AMRO
160	Spectrogram 1	1	163.888518024	164.183570852	2370.968	3951.613	4-added-channels.wav	RWBL
161	Spectrogram 1	1	167.028018374	167.092483698	3161.290	5137.097	4-added-channels.wav	AGOL
162	Spectrogram 1	1	169.395704171	169.477525543	3042.742	5729.839	4-added-channels.wav	RWBL
163	Spectrogram 1	1	172.390512594	172.569031952	4188.710	7073.387	4-added-channels.wav	COYE
164	Spectrogram 1	1	174.480501898	174.611911981	4702.419	7982.258	4-added-channels.wav	YEWA
165	Spectrogram 1	1	174.778034162	174.872252712	1896.774	3595.968	4-added-channels.wav	GRCA
166	Spectrogram 1	1	175.552327864	175.619272623	2647.581	3635.484	4-added-channels.wav	AMRO
167	Spectrogram 1	1	176.484595625	176.611046837	2608.065	3240.323	4-added-channels.wav	AMRO
168	Spectrogram 1	1	175.976311340	176.011023438	4820.968	5848.387	4-added-channels.wav	RWBL
169	Spectrogram 1	1	177.648160705	177.712626029	1422.581	3121.774	4-added-channels.wav	NOCA
170	Spectrogram 1	1	178.746375796	178.833156040	2410.484	6480.645	4-added-channels.wav	RWBL
171	Spectrogram 1	1	179.661287508	179.807574205	4070.161	4900.000	4-added-channels.wav	RWBL
172	Spectrogram 1	1	180.660325177	180.712393324	3754.032	5492.742	4-added-channels.wav	AGOL
173	Spectrogram 1	1	180.895871553	180.952898570	3082.258	3793.548	4-added-channels.wav	EATO
174	Spectrogram 1	1	181.870289718	181.929796171	3398.387	4939.516	4-added-channels.wav	AGOL
175	Spectrogram 1	1	183.056169718	183.137991091	1936.290	2726.613	4-added-channels.wav	GRCA
176	Spectrogram 1	1	183.884126048	183.998180083	4030.645	7863.710	4-added-channels.wav	YEWA
177	Spectrogram 1	1	184.608121224	185.091611153	2489.516	3200.806	4-added-channels.wav	RWBL
178	Spectrogram 1	1	185.520553501	185.676757939	4307.258	7508.065	4-added-channels.wav	COYE
179	Spectrogram 1	1	185.419606459	185.568372591	1817.742	2252.419	4-added-channels.wav	NOCA
180	Spectrogram 1	1	186.319641558	186.575023418	1383.065	2608.065	4-added-channels.wav	NOCA
181	Spectrogram 1	1	187.200550700	187.294769251	2924.194	4702.419	4-added-channels.wav	COYE
182	Spectrogram 1	1	189.506250896	189.627743237	3161.290	3991.129	4-added-channels.wav	SOSP
183	Spectrogram 1	1	191.397885357	191.556569231	3398.387	7745.161	4-added-channels.wav	YEWA
184	Spectrogram 1	1	192.752366974	192.916009719	1620.161	2291.935	4-added-channels.wav	NOCA
185	Spectrogram 1	1	192.994466703	193.120917915	4583.871	7073.387	4-added-channels.wav	COYE
186	Spectrogram 1	1	193.841548701	193.935767252	2766.129	4188.710	4-added-channels.wav	EATO
187	Spectrogram 1	1	194.270491049	194.362230163	2766.129	5611.290	4-added-channels.wav	RWBL
188	Spectrogram 1	1	197.974417747	198.024006458	1857.258	2805.645	4-added-channels.wav	GRCA
189	Spectrogram 1	1	199.304105009	199.450391705	4070.161	7547.581	4-added-channels.wav	COYE
190	Spectrogram 1	1	200.100713630	200.189973310	3200.806	5729.839	4-added-channels.wav	YEWA
191	Spectrogram 1	1	200.075919275	200.165178954	2054.839	3003.226	4-added-channels.wav	GRCA
192	Spectrogram 1	1	203.011396096	203.182477148	1541.129	2173.387	4-added-channels.wav	NOCA
193	Spectrogram 1	1	201.960115430	202.012183576	3991.129	4465.323	4-added-channels.wav	SOSP
194	Spectrogram 1	1	204.102172880	204.275733368	6954.839	7508.065	4-added-channels.wav	SOSP
195	Spectrogram 1	1	206.173211366	206.773234766	2489.516	3872.581	4-added-channels.wav	RWBL
196	Spectrogram 1	1	207.165695395	207.267352252	6520.161	7310.484	4-added-channels.wav	SOSP
197	Spectrogram 1	1	211.551467153	211.692794978	4228.226	7073.387	4-added-channels.wav	COYE
198	Spectrogram 1	1	213.655448404	213.866200424	1620.161	2410.484	4-added-channels.wav	NOCA
199	Spectrogram 1	1	214.183568173	214.285225030	2805.645	4149.194	4-added-channels.wav	EATO
200	Spectrogram 1	1	215.649624389	215.790952214	2529.032	3279.839	4-added-channels.wav	AMRO
201	Spectrogram 1	1	217.211493924	217.320589088	2766.129	3595.968	4-added-channels.wav	GRCA
202	Spectrogram 1	1	219.694118709	219.783378388	2953.125	3858.750	4-added-channels.wav	GRCA
203	Spectrogram 1	1	219.914613621	220.093132979	1693.125	2441.250	4-added-channels.wav	NOCA
204	Spectrogram 1	1	221.391472245	221.478252489	2165.625	3031.875	4-added-channels.wav	BAOR
205	Spectrogram 1	1	222.617023214	222.701324022	2716.875	3701.250	4-added-channels.wav	BAOR
206	Spectrogram 1	1	224.778916149	224.880573006	2795.625	5197.500	4-added-channels.wav	COYE
207	Spectrogram 1	1	225.986226115	226.040773697	3031.875	4646.250	4-added-channels.wav	AGOL
208	Spectrogram 1	1	227.067260008	227.166437429	3622.500	5000.625	4-added-channels.wav	COYE
209	Spectrogram 1	1	228.140680743	228.220022680	2835.000	4095.000	4-added-channels.wav	EATO
210	Spectrogram 1	1	229.191961410	229.695286823	2638.125	4016.250	4-added-channels.wav	RWBL
211	Spectrogram 1	1	230.954665223	231.004253934	3346.875	5079.375	4-added-channels.wav	AGOL
212	Spectrogram 1	1	231.540521825	231.639699246	2638.125	3425.625	4-added-channels.wav	BAOR
213	Spectrogram 1	1	233.296671998	233.351219580	4173.750	5315.625	4-added-channels.wav	AGOL
214	Spectrogram 1	1	235.294922188	235.354428640	3465.000	4882.500	4-added-channels.wav	GRCA
215	Spectrogram 1	1	236.232148819	236.378435516	6930.000	7638.750	4-added-channels.wav	SOSP
216	Spectrogram 1	1	237.449376816	237.575828028	4213.125	7166.250	4-added-channels.wav	COYE
217	Spectrogram 1	1	239.368285068	239.415394343	2520.000	3425.625	4-added-channels.wav	GRCA
218	Spectrogram 1	1	241.314466824	241.378932147	2362.500	3031.875	4-added-channels.wav	GRCA
219	Spectrogram 1	1	242.446683909	242.511149232	3189.375	4528.125	4-added-channels.wav	RWBL
220	Spectrogram 1	1	234.118958779	234.161109183	3110.625	4213.125	4-added-channels.wav	RWBL
221	Spectrogram 1	1	243.845795653	243.927617025	3622.500	5118.750	4-added-channels.wav	GRCA
222	Spectrogram 1	1	243.310293164	243.414429456	5827.500	8386.875	4-added-channels.wav	TUTI
223	Spectrogram 1	1	245.815232868	245.887136499	2244.375	3976.875	4-added-channels.wav	GRCA
224	Spectrogram 1	1	249.234024768	249.462132837	6811.875	7520.625	4-added-channels.wav	SOSP
225	Spectrogram 1	1	251.363685041	251.435588671	7717.500	8229.375	4-added-channels.wav	SOSP
226	Spectrogram 1	1	252.132310056	252.400089094	2559.375	3031.875	4-added-channels.wav	RWBL
227	Spectrogram 1	1	253.369373537	253.699138463	5709.375	7520.625	4-added-channels.wav	BWWA
228	Spectrogram 1	1	254.803197090	254.875100721	2677.500	3504.375	4-added-channels.wav	GRCA
229	Spectrogram 1	1	256.808885587	256.984925509	4173.750	7008.750	4-added-channels.wav	COYE
230	Spectrogram 1	1	258.902948808	258.992208487	5158.125	8190.000	4-added-channels.wav	BWWA
231	Spectrogram 1	1	261.034378125	261.194301717	6575.625	7166.250	4-added-channels.wav	SOSP
233	Spectrogram 1	1	260.795112596	260.921563809	2992.500	4410.000	4-added-channels.wav	GRCA
234	Spectrogram 1	1	263.089300045	263.327325856	2835.000	4370.625	4-added-channels.wav	EATO
235	Spectrogram 1	1	264.656128451	264.723073211	2165.625	3465.000	4-added-channels.wav	GRCA
236	Spectrogram 1	1	266.189129427	266.283347977	2953.125	4528.125	4-added-channels.wav	EATO
237	Spectrogram 1	1	267.027888453	267.092353776	2283.750	3661.875	4-added-channels.wav	GRCA
238	Spectrogram 1	1	268.974954874	269.150994797	6654.375	7678.125	4-added-channels.wav	SOSP
239	Spectrogram 1	1	270.757493885	270.869068484	4291.875	7245.000	4-added-channels.wav	COYE
240	Spectrogram 1	1	272.072304533	272.211152923	3071.250	4410.000	4-added-channels.wav	FISP
241	Spectrogram 1	1	272.647533577	272.940106970	6496.875	7756.875	4-added-channels.wav	BWWA
242	Spectrogram 1	1	273.867241009	273.921788591	2559.375	7284.375	4-added-channels.wav	COYE
243	Spectrogram 1	1	276.160544027	276.257242013	2992.500	4095.000	4-added-channels.wav	EATO
244	Spectrogram 1	1	277.805829417	277.885171354	3425.625	4331.250	4-added-channels.wav	GRCA
245	Spectrogram 1	1	278.586851610	279.008355650	6457.500	7520.625	4-added-channels.wav	BWWA
246	Spectrogram 1	1	280.238865491	280.315727992	6575.625	7166.250	4-added-channels.wav	SOSP
247	Spectrogram 1	1	282.034686632	282.213205991	7008.750	7678.125	4-added-channels.wav	SOSP
248	Spectrogram 1	1	281.215587953	281.245341179	7205.625	7756.875	4-added-channels.wav	BCCH
249	Spectrogram 1	1	283.455227767	283.489939865	6221.250	8701.875	4-added-channels.wav	FISP
250	Spectrogram 1	1	283.700691885	283.817225355	2559.375	5315.625	4-added-channels.wav	
251	Spectrogram 1	1	284.273441493	284.375098350	2677.500	5355.000	4-added-channels.wav	COYE
252	Spectrogram 1	1	285.027899424	285.129556280	2480.625	3307.500	4-added-channels.wav	GRCA
253	Spectrogram 1	1	286.402216525	286.446846364	4095.000	5040.000	4-added-channels.wav	HOWR
254	Spectrogram 1	1	286.755005898	286.799635738	1968.750	2520.000	4-added-channels.wav	GRCA
255	Spectrogram 1	1	287.434371235	287.625287771	5748.750	7953.750	4-added-channels.wav	BHCO
256	Spectrogram 1	1	287.667438175	287.744300676	2401.875	2992.500	4-added-channels.wav	GRCA
257	Spectrogram 1	1	288.821085513	288.932660112	2835.000	3898.125	4-added-channels.wav	EATO
258	Spectrogram 1	1	290.296174805	290.380475613	2795.625	3976.875	4-added-channels.wav	EATO
259	Spectrogram 1	1	290.623460296	290.717678846	2244.375	3110.625	4-added-channels.wav	RWBL
260	Spectrogram 1	1	292.083672974	292.160535476	6772.500	7441.875	4-added-channels.wav	SOSP
261	Spectrogram 1	1	293.090323801	293.182062916	5000.625	8741.250	4-added-channels.wav	BWWA
262	Spectrogram 1	1	294.840629862	294.895177444	2401.875	3307.500	4-added-channels.wav	GRCA
263	Spectrogram 1	1	296.006674091	296.120728125	3307.500	4843.125	4-added-channels.wav	FISP
264	Spectrogram 1	1	296.845433116	297.023952475	7008.750	7520.625	4-added-channels.wav	SOSP
265	Spectrogram 1	1	297.761054644	297.870149807	3543.750	4173.750	4-added-channels.wav	EATO
266	Spectrogram 1	1	299.076749958	299.210639477	4291.875	7126.875	4-added-channels.wav	COYE
267	Spectrogram 1	1	299.674293922	299.758594730	2401.875	3031.875	4-added-channels.wav	RWBL
268	Spectrogram 1	1	301.266801232	301.346143169	2845.161	4662.903	4-added-channels.wav	AGOL
269	Spectrogram 1	1	301.596566158	302.097412136	2568.548	3833.065	4-added-channels.wav	RWBL
270	Spectrogram 1	1	302.749328543	302.885697497	2489.516	3240.323	4-added-channels.wav	BAOR
271	Spectrogram 1	1	304.021988787	304.133563386	2015.323	3951.613	4-added-channels.wav	GRCA
272	Spectrogram 1	1	304.193069839	304.297206131	6836.290	7468.548	4-added-channels.wav	SOSP
273	Spectrogram 1	1	305.310410311	305.717037738	6322.581	7547.581	4-added-channels.wav	BWWA
274	Spectrogram 1	1	305.861554815	305.943376187	2805.645	4820.968	4-added-channels.wav	GRCA
275	Spectrogram 1	1	307.132620290	307.214441662	3161.290	4149.194	4-added-channels.wav	GRCA
276	Spectrogram 1	1	309.383772904	309.487909196	7033.871	7784.677	4-added-channels.wav	SOSP
277	Spectrogram 1	1	311.738176856	312.092736137	2608.065	3872.581	4-added-channels.wav	RWBL
278	Spectrogram 1	1	313.065384682	313.176959281	2647.581	5295.161	4-added-channels.wav	COYE
279	Spectrogram 1	1	314.904950997	315.182647777	6322.581	7745.161	4-added-channels.wav	BWWA
280	Spectrogram 1	1	315.410755846	315.514892139	7073.387	7468.548	4-added-channels.wav	SOSP
281	Spectrogram 1	1	317.589120163	317.680859278	7626.613	8140.323	4-added-channels.wav	SOSP
282	Spectrogram 1	1	317.038685475	317.108109670	2726.613	4662.903	4-added-channels.wav	GRCA
283	Spectrogram 1	1	318.822109439	318.869218714	2647.581	3121.774	4-added-channels.wav	GRCA
