Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species	Notes
69	Spectrogram 1	1	33.956234929	34.541441874	3299.100	4531.100	EWPE	
70	Spectrogram 1	1	33.914995513	33.981764091	2526.600	5616.900	RWBL	
71	Spectrogram 1	1	34.565007255	34.832081565	1858.400	3883.800	REVI	
72	Spectrogram 1	1	35.511285490	35.591800539	2756.200	3570.600	REVI	
73	Spectrogram 1	1	35.949208808	36.304653295	2129.800	5387.200	REVI	
74	Spectrogram 1	1	36.599805771	36.902228152	2839.800	4468.500	EWPE	
75	Spectrogram 1	1	36.624220338	37.580582025	2985.900	6389.500	COYE	
76	Spectrogram 1	1	36.590836050	37.158368960	3111.200	4552.000	EWPE	
77	Spectrogram 1	1	36.942352973	37.015012896	1232.000	1879.300	AMCR	
78	Spectrogram 1	1	37.170151650	37.254594263	1211.100	1858.400	AMCR	
79	Spectrogram 1	1	36.924678938	37.741612124	1064.900	2004.500	AMCR	
80	Spectrogram 1	1	38.284201093	38.733907102	3173.900	4447.600	EWPE	
81	Spectrogram 1	1	38.500217080	39.927886373	2589.200	6473.000	COYE	
82	Spectrogram 1	1	39.034365701	39.399629097	2526.600	6598.300	COYE	
83	Spectrogram 1	1	41.128342211	41.369887359	2338.600	4092.600	REVI	
84	Spectrogram 1	1	40.458692652	40.812173358	3153.000	4719.000	EWPE	
85	Spectrogram 1	1	41.315750947	41.588716603	4030.000	5554.300	REVI	
86	Spectrogram 1	1	41.555067772	42.882584199	1670.500	3925.600	AMRO	
87	Spectrogram 1	1	41.908548477	42.252210274	1879.300	2985.900	AMRO	
88	Spectrogram 1	1	42.529103493	42.782431332	1983.700	2839.800	AMRO	
89	Spectrogram 1	1	42.825369987	43.255438178	2547.400	4447.600	EWPE	
90	Spectrogram 1	1	42.805732170	43.591244848	2422.200	4614.600	EWPE	
91	Spectrogram 1	1	43.887511342	44.178151033	584.700	2088.100	RBWO	
92	Spectrogram 1	1	44.992855895	45.303133403	2255.100	4614.600	REVI	
93	Spectrogram 1	1	46.443825738	46.699117358	1941.900	4364.100	REVI	
94	Spectrogram 1	1	46.530232132	47.056525627	3006.800	4301.400	EWPE	
95	Spectrogram 1	1	45.605290953	45.693661130	4907.000	5387.200	SOSP	
96	Spectrogram 1	1	45.893966863	45.988228384	4865.200	5303.700	SOSP	
97	Spectrogram 1	1	46.163004955	46.257266476	4614.600	5199.300	SOSP	
98	Spectrogram 1	1	46.553797513	46.648059034	6452.100	7099.400	SOSP	
99	Spectrogram 1	1	46.860147457	46.950481415	6222.400	6765.300	SOSP	
100	Spectrogram 1	1	45.583689355	46.972083014	4656.400	7329.100	SOSP	
101	Spectrogram 1	1	47.493202331	47.740638824	730.800	2088.100	RBWO	
102	Spectrogram 1	1	47.252506657	48.136208421	2714.500	5679.500	COYE	
103	Spectrogram 1	1	47.285890946	47.523508531	2756.200	5512.500	COYE	
104	Spectrogram 1	1	47.792546624	48.096932787	2798.000	5575.100	COYE	
105	Spectrogram 1	1	48.267517252	48.705440570	1962.800	4844.300	REVI	
106	Spectrogram 1	1	49.035355895	49.518446193	2443.000	4322.300	EWPE	
107	Spectrogram 1	1	49.378753150	50.570768639	2568.300	6681.800	COYE	
108	Spectrogram 1	1	49.510326523	49.883445046	2463.900	6306.000	COYE	
109	Spectrogram 1	1	50.085714560	50.407774759	2505.700	6577.400	COYE	
110	Spectrogram 1	1	51.169457514	51.658439157	3194.700	4384.900	EWPE	
111	Spectrogram 1	1	51.153747261	51.854817326	3069.500	4531.100	EWPE	
112	Spectrogram 1	1	51.764218826	52.005763974	1774.900	4217.900	REVI	
113	Spectrogram 1	1	52.236375908	52.407224916	2651.800	3612.400	REVI	
114	Spectrogram 1	1	53.504714342	54.044754308	3173.900	4364.100	EWPE	
115	Spectrogram 1	1	53.490967870	54.390379887	3132.100	4468.500	EWPE	
116	Spectrogram 1	1	53.249422721	53.473293835	605.500	1900.100	RBWO	
117	Spectrogram 1	1	54.111522886	54.278444330	2213.400	2756.200	GCFL	
118	Spectrogram 1	1	54.107595323	54.296118365	2046.300	3299.100	GCFL	
119	Spectrogram 1	1	54.647370746	54.898734804	2359.500	3883.800	REVI	Entire phrase
120	Spectrogram 1	1	54.645406965	54.727885796	2380.400	3758.500	REVI	Element
121	Spectrogram 1	1	54.824111099	54.900698585	2359.500	3654.100	REVI	Element
122	Spectrogram 1	1	55.033971198	55.393343249	1983.700	4364.100	REVI	
123	Spectrogram 1	1	55.760570426	56.092449533	2317.800	3445.300	REVI	
124	Spectrogram 1	1	55.742896391	55.852868166	2631.000	3299.100	REVI	
125	Spectrogram 1	1	55.911781616	55.998188011	2526.600	3173.900	REVI	
126	Spectrogram 1	1	56.055137680	56.555902013	2484.800	4468.500	EWPE	
127	Spectrogram 1	1	56.066920371	56.801374725	2505.700	4405.800	EWPE	
128	Spectrogram 1	1	56.711625988	56.994410552	709.900	2192.500	RBWO	
129	Spectrogram 1	1	56.939424665	57.326289659	2296.900	4677.300	REVI	
130	Spectrogram 1	1	57.970145513	58.453235810	3194.700	4468.500	EWPE	
131	Spectrogram 1	1	58.515812282	60.530652303	2651.800	6640.100	COYE	Entire song
132	Spectrogram 1	1	59.397550264	59.729429371	2547.400	6389.500	COYE	Single loudest element only
133	Spectrogram 1	1	60.658033570	61.317864220	3153.000	4447.600	EWPE	
134	Spectrogram 1	1	61.682863073	61.975466546	2108.900	4510.200	REVI	
135	Spectrogram 1	1	62.085173779	62.611467273	2296.900	3487.100	AMRO	
136	Spectrogram 1	1	62.903806204	63.064836303	2213.400	3716.800	REVI	
137	Spectrogram 1	1	63.235685310	63.783580404	3299.100	4593.700	EWPE	
138	Spectrogram 1	1	63.767870150	64.148843799	2192.500	5449.900	REVI	
139	Spectrogram 1	1	65.768434614	66.090494812	2401.300	4635.500	REVI	
140	Spectrogram 1	1	64.372450082	65.756916178	2651.800	7203.800	SOSP	
141	Spectrogram 1	1	64.425472188	64.527588836	4656.400	5345.500	SOSP	
142	Spectrogram 1	1	64.729858350	64.833938780	4719.000	5303.700	SOSP	
143	Spectrogram 1	1	65.154035197	65.224731338	6514.800	6911.500	SOSP	
144	Spectrogram 1	1	65.456457578	65.605704987	6347.700	6869.700	SOSP	
145	Spectrogram 1	1	65.140288725	65.381833874	2589.200	3340.900	SOSP	
146	Spectrogram 1	1	65.531081283	65.747097269	2839.800	3758.500	SOSP	
147	Spectrogram 1	1	66.096121614	67.199766928	939.600	1941.900	AMCR	
148	Spectrogram 1	1	66.100049178	66.172709101	1064.900	1816.600	AMCR	
149	Spectrogram 1	1	66.316065164	66.394616432	1085.800	1774.900	AMCR	
150	Spectrogram 1	1	66.869851603	67.074084899	2067.200	4134.400	REVI	
151	Spectrogram 1	1	66.450787984	68.127857553	1816.600	4301.400	AMRO	
152	Spectrogram 1	1	66.454715547	66.629492118	2234.200	4468.500	AMRO	
153	Spectrogram 1	1	67.277540078	67.581926241	1962.800	3508.000	AMRO	
154	Spectrogram 1	1	67.823471390	68.114111081	2067.200	4030.000	AMRO	
155	Spectrogram 1	1	68.129556792	68.504639096	2213.400	4635.500	REVI	
156	Spectrogram 1	1	68.647730329	68.789122611	2422.200	3173.900	AMRO	
157	Spectrogram 1	1	68.879456569	70.246248630	2067.200	7057.700	COYE	
158	Spectrogram 1	1	69.058160704	69.323271233	1858.400	3508.000	REVI	
159	Spectrogram 1	1	69.926152214	70.193226524	1795.700	3424.400	REVI	
160	Spectrogram 1	1	70.517835725	71.150173432	2568.300	4886.100	COYE	
161	Spectrogram 1	1	70.572821613	70.820258107	2818.900	4531.100	COYE	
162	Spectrogram 1	1	71.173738812	71.480088757	1754.000	4614.600	REVI	
163	Spectrogram 1	1	71.556411700	72.025755526	3257.400	4593.700	EWPE	
164	Spectrogram 1	1	71.554447918	72.192676970	3173.900	4739.900	EWPE	
165	Spectrogram 1	1	72.008081490	72.296757400	1900.100	3403.600	REVI	
166	Spectrogram 1	1	72.508580992	72.769763958	3069.500	3695.900	EWPE	
167	Spectrogram 1	1	72.822786064	73.378536284	3006.800	4113.500	AMRO	Entire call
168	Spectrogram 1	1	72.840460099	72.881699515	3299.100	3925.600	AMRO	One note only
169	Spectrogram 1	1	73.419511157	73.975261377	2150.700	2651.800	BLJA	Strongest section only
170	Spectrogram 1	1	73.401837122	74.263937286	1921.000	5658.700	BLJA	Entire call
171	Spectrogram 1	1	75.036288714	75.592038934	2067.200	2610.100	BLJA	
172	Spectrogram 1	1	75.020578461	76.024070908	1962.800	7391.800	BLJA	
173	Spectrogram 1	1	72.625161412	73.997844818	4948.700	7266.500	SOSP	
174	Spectrogram 1	1	72.935438920	73.045410695	4802.600	5387.200	SOSP	
175	Spectrogram 1	1	73.915365986	74.035156670	6285.100	6786.200	SOSP	
176	Spectrogram 1	1	74.367035777	74.693023538	2631.000	5449.900	REVI	
177	Spectrogram 1	1	76.042462530	76.498059884	2777.100	4489.300	EWPE	
178	Spectrogram 1	1	76.046390094	76.321319531	2839.800	4217.900	EWPE	
179	Spectrogram 1	1	76.353589226	76.601025720	2046.300	4343.200	REVI	
180	Spectrogram 1	1	77.129282996	77.207834264	2589.200	3695.900	AMRO	
181	Spectrogram 1	1	77.199714594	79.312743700	2714.500	7287.400	COYE	
182	Spectrogram 1	1	78.193388133	78.485991606	2463.900	7036.800	COYE	
183	Spectrogram 1	1	78.713525539	79.222144998	2088.100	2651.800	BLJA	
184	Spectrogram 1	1	78.717453102	79.493146872	2046.300	5637.800	BLJA	
185	Spectrogram 1	1	80.455984837	80.601304682	2088.100	2714.500	AMRO	
186	Spectrogram 1	1	80.737655095	82.067135303	2610.100	5053.100	COYE	
187	Spectrogram 1	1	81.260021026	81.428906252	2651.800	4656.400	COYE	
188	Spectrogram 1	1	82.679306107	83.117229426	1879.300	2735.400	BLJA	
189	Spectrogram 1	1	82.681269889	83.386267518	1921.000	7600.600	BLJA	
190	Spectrogram 1	1	82.573261896	83.708327716	2965.100	4050.900	AMRO	
191	Spectrogram 1	1	82.583080804	82.628247783	3153.000	3946.400	AMRO	
192	Spectrogram 1	1	83.706099392	84.104747077	3153.000	4447.600	EWPE	
193	Spectrogram 1	1	83.717882082	84.356111134	3320.000	4489.300	EWPE	
194	Spectrogram 1	1	84.108674640	84.291306338	2129.800	3612.400	REVI	
195	Spectrogram 1	1	84.365930042	84.939354298	3340.900	4719.000	EWPE	
196	Spectrogram 1	1	84.379676514	85.116094650	3508.000	4635.500	EWPE	
197	Spectrogram 1	1	85.090565488	85.255523151	2338.600	3883.800	REVI	
198	Spectrogram 1	1	85.102348178	85.341929545	814.300	2046.300	RBWO	
199	Spectrogram 1	1	85.779487285	86.317563470	3320.000	4343.200	EWPE	
200	Spectrogram 1	1	85.769668377	86.429499027	3236.500	4489.300	EWPE	
201	Spectrogram 1	1	86.305780780	86.490376259	2108.900	3716.800	REVI	
202	Spectrogram 1	1	85.997467053	86.867422345	1795.700	3382.700	AMRO	
203	Spectrogram 1	1	86.019068652	86.209555477	2171.600	3048.600	AMRO	
204	Spectrogram 1	1	86.531615675	86.729957626	1879.300	3278.300	AMRO	
205	Spectrogram 1	1	87.020597317	87.271961375	1628.700	3257.400	AMRO	
206	Spectrogram 1	1	87.429649131	87.832224379	2108.900	2672.700	BLJA	
207	Spectrogram 1	1	87.313786011	87.973616661	1921.000	7454.400	BLJA	
208	Spectrogram 1	1	87.618172174	89.475909659	2401.300	7183.000	COYE	
209	Spectrogram 1	1	87.820441689	88.124827852	2505.700	6201.600	COYE	
210	Spectrogram 1	1	88.334952493	88.619700839	2735.400	6619.200	COYE	
211	Spectrogram 1	1	89.236913342	89.562901104	1503.400	3173.900	REVI	
212	Spectrogram 1	1	90.642981037	90.963077453	2004.500	3988.200	REVI	
213	Spectrogram 1	1	89.941910971	90.648872382	3153.000	4760.800	EWPE	
214	Spectrogram 1	1	90.281645205	90.639053473	3695.900	4531.100	EWPE	
215	Spectrogram 1	1	91.416181940	92.720132986	2610.100	4593.700	COYE	
216	Spectrogram 1	1	91.930692744	92.060302336	3027.700	4426.700	COYE	
217	Spectrogram 1	1	92.089759062	92.223296217	2108.900	3340.900	REVI	
218	Spectrogram 1	1	93.174351779	93.822399739	3236.500	4552.000	EWPE	
219	Spectrogram 1	1	93.476774161	93.789015450	3967.300	4343.200	EWPE	
220	Spectrogram 1	1	93.659405859	93.881313190	2568.300	3716.800	REVI	
221	Spectrogram 1	1	94.016814127	94.065908670	1503.400	1962.800	BLJA	Single call
222	Spectrogram 1	1	94.279960875	94.348693234	1503.400	1941.900	BLJA	Single
223	Spectrogram 1	1	94.619695108	94.676644777	1315.500	1733.100	BLJA	Single
224	Spectrogram 1	1	94.916811365	95.036602049	981.400	1921.000	BLJA	Single
225	Spectrogram 1	1	95.227088873	95.335096867	1106.700	1837.500	AMCR	Single call
226	Spectrogram 1	1	95.843716326	95.936014066	1211.100	1858.400	AMCR	Single
227	Spectrogram 1	1	95.207451056	96.075442566	981.400	1941.900	AMCR	Entire sequence
228	Spectrogram 1	1	95.323314177	96.405357891	2234.200	3654.100	AMRO	
229	Spectrogram 1	1	95.374372501	95.547185290	2171.600	3215.600	AMRO	
230	Spectrogram 1	1	95.818187164	96.044022059	2255.100	3445.300	AMRO	
231	Spectrogram 1	1	96.423617148	96.598393719	1921.000	3132.100	AMRO	
232	Spectrogram 1	1	96.164397964	96.272405957	1169.300	1837.500	AMCR	
233	Spectrogram 1	1	97.401580433	97.468349010	1357.200	1837.500	AMCR	
234	Spectrogram 1	1	96.152615274	97.487986827	1211.100	1879.300	AMCR	
235	Spectrogram 1	1	96.529661359	96.924381480	3445.300	3904.700	EWPE	
236	Spectrogram 1	1	96.953838206	97.874851822	1795.700	6222.400	COYE	
237	Spectrogram 1	1	97.474240355	97.758988701	2610.100	6034.500	COYE	
238	Spectrogram 1	1	98.087469068	98.761046190	3299.100	4614.600	EWPE	
239	Spectrogram 1	1	98.370253633	98.790502916	3361.800	4614.600	EWPE	
240	Spectrogram 1	1	98.511645915	98.674639796	2359.500	3612.400	REVI	
241	Spectrogram 1	1	98.240644041	98.497899443	877.000	2025.400	RBWO	
242	Spectrogram 1	1	98.954346272	100.079593184	2944.200	8039.100	BHCO	
243	Spectrogram 1	1	98.975947871	99.351030175	4217.900	5011.400	BHCO	
244	Spectrogram 1	1	99.547408344	99.728076260	4760.800	7537.900	BHCO	
245	Spectrogram 1	1	100.391305389	100.632850537	2505.700	4552.000	REVI	
246	Spectrogram 1	1	100.674089953	100.731039622	1399.000	2025.400	BLJA	
247	Spectrogram 1	1	101.190564539	101.247514208	1461.600	1900.100	BLJA	
248	Spectrogram 1	1	100.654452136	101.693292654	1127.600	2108.900	BLJA	
249	Spectrogram 1	1	101.188600758	101.919127549	3278.300	4531.100	EWPE	
250	Spectrogram 1	1	101.693292654	101.854322753	2401.300	3612.400	REVI	
251	Spectrogram 1	1	101.909308640	102.082121429	1315.500	1941.900	BLJA	
252	Spectrogram 1	1	102.648275779	102.717008139	1378.100	1941.900	BLJA	
253	Spectrogram 1	1	103.771558910	103.834399924	1378.100	1879.300	BLJA	
254	Spectrogram 1	1	102.632565526	104.910552294	1315.500	2067.200	BLJA	
255	Spectrogram 1	1	102.514738624	104.835928589	2088.100	7496.200	COYE	
256	Spectrogram 1	1	103.563398050	103.881530685	2463.900	6765.300	COYE	
257	Spectrogram 1	1	104.335164257	104.392113926	1440.800	1858.400	BLJA	
258	Spectrogram 1	1	105.108365229	105.239938603	2108.900	3048.600	AMRO	
259	Spectrogram 1	1	106.137386838	106.378931987	2171.600	3090.300	AMRO	
260	Spectrogram 1	1	106.473193508	106.612622009	2777.100	3612.400	AMRO	
261	Spectrogram 1	1	105.084799849	106.640114953	2234.200	3695.900	AMRO	
262	Spectrogram 1	1	105.754449407	106.033306408	2526.600	4155.300	REVI	
263	Spectrogram 1	1	105.159423553	105.245829948	1399.000	1921.000	BLJA	Single calls selected sporadically throughout sequence
264	Spectrogram 1	1	105.459882153	105.530578294	1461.600	1879.300	BLJA	
265	Spectrogram 1	1	105.937081105	106.011704810	1419.900	1921.000	BLJA	
266	Spectrogram 1	1	105.114256574	107.371226965	1148.400	2025.400	BLJA	Entire sequence
267	Spectrogram 1	1	106.823331872	107.485126303	3194.700	4447.600	EWPE	
268	Spectrogram 1	1	107.027565168	107.102188872	1440.800	1962.800	BLJA	
269	Spectrogram 1	1	107.532257064	107.710961198	2296.900	4217.900	REVI	
270	Spectrogram 1	1	106.758527076	106.856716160	1503.400	2714.500	BLJA	
271	Spectrogram 1	1	107.261972424	107.403364706	7162.100	9250.100	TUTI	
272	Spectrogram 1	1	108.632692048	108.730881133	7350.000	8874.300	TUTI	
273	Spectrogram 1	1	109.245127395	109.577006501	2129.800	4113.500	REVI	
274	Spectrogram 1	1	109.924595862	110.056169235	7141.200	8582.000	TUTI	
275	Spectrogram 1	1	109.974083022	111.637406119	1232.000	2401.300	BLJA	
276	Spectrogram 1	1	110.887241511	111.056126737	1315.500	1837.500	BLJA	
277	Spectrogram 1	1	110.282396748	110.938299835	3194.700	4468.500	EWPE	
278	Spectrogram 1	1	110.765487046	110.918662018	2651.800	3633.200	REVI	
279	Spectrogram 1	1	111.533325689	111.621695866	1273.700	3988.200	BLJA	
280	Spectrogram 1	1	111.956973739	112.023742316	1482.500	2067.200	BLJA	
281	Spectrogram 1	1	111.678116738	112.110148711	1461.600	3925.600	BLJA	
282	Spectrogram 1	1	112.298671754	114.376352789	2359.500	7099.400	COYE	
283	Spectrogram 1	1	113.308055546	113.612441709	2463.900	6890.600	COYE	
284	Spectrogram 1	1	112.654701282	112.780383311	1649.600	2276.000	BLJA	
285	Spectrogram 1	1	112.367989155	113.699433145	1273.700	2317.800	BLJA	
286	Spectrogram 1	1	113.271328735	113.400938327	7099.400	8623.700	TUTI	
287	Spectrogram 1	1	113.854571899	114.490837169	1399.000	2108.900	BLJA	
288	Spectrogram 1	1	114.443706408	114.477090697	1586.900	1983.700	BLJA	
289	Spectrogram 1	1	114.845167224	115.094567500	793.500	1586.900	RBWO	
290	Spectrogram 1	1	114.633078801	114.746978139	1503.400	3633.200	BLJA	
291	Spectrogram 1	1	114.635042583	115.110277753	1419.900	2108.900	BLJA	
292	Spectrogram 1	1	115.194720366	115.318438613	6995.000	8853.400	TUTI	
293	Spectrogram 1	1	115.275235416	115.770108403	2088.100	3382.700	AMRO	
294	Spectrogram 1	1	116.415928039	116.720314202	1962.800	3173.900	AMRO	
295	Spectrogram 1	1	115.978004721	116.298101137	2380.400	3633.200	AMRO	
296	Spectrogram 1	1	115.353522141	115.928910178	3278.300	4405.800	EWPE	
297	Spectrogram 1	1	115.722713100	115.924982615	3904.700	4259.700	EWPE	
298	Spectrogram 1	1	115.988541167	117.170737749	2484.800	5449.900	COYE	
299	Spectrogram 1	1	116.408790450	116.669973416	3006.800	4760.800	COYE	
300	Spectrogram 1	1	117.166810185	117.263035488	7788.500	8936.900	TUTI	
301	Spectrogram 1	1	116.772090064	117.033273030	1461.600	2213.400	BLJA	
302	Spectrogram 1	1	117.404427770	117.616516194	2923.300	3716.800	AMRO	
303	Spectrogram 1	1	117.825499044	118.184871095	2296.900	5783.900	REVI	
304	Spectrogram 1	1	118.803462329	118.885941161	7412.600	8456.700	TUTI	
305	Spectrogram 1	1	117.972782672	118.143631679	2317.800	3737.600	REVI	
306	Spectrogram 1	1	118.513672114	119.703723822	2192.500	3716.800	?	Just noting that there is a Dark-eyed Junco, Chipping Sparrow, or Swamp Sparrow here, but is to distant to clearly ID or see on sono. If Chris detected only one of those species here. It could be counted as such.
307	Spectrogram 1	1	119.884976671	120.167761235	2150.700	4134.400	REVI	
308	Spectrogram 1	1	120.042079206	120.169725017	2255.100	3883.800	REVI	
309	Spectrogram 1	1	120.244348721	120.303262172	7788.500	8373.200	TUTI	
310	Spectrogram 1	1	120.609612117	121.080919724	3257.400	4259.700	EWPE	
311	Spectrogram 1	1	120.599793208	121.347994035	3090.300	4238.800	EWPE	
312	Spectrogram 1	1	121.704023743	121.757045849	1691.300	2108.900	BLJA	
313	Spectrogram 1	1	121.285738241	123.170968670	1378.100	2213.400	BLJA	
314	Spectrogram 1	1	121.370974472	124.919527998	1879.300	9396.300	SOSP	Entire song
315	Spectrogram 1	1	124.338569583	124.448541358	877.000	1628.700	AMCR	
316	Spectrogram 1	1	123.668920024	124.507454809	772.600	1712.200	AMCR	
317	Spectrogram 1	1	123.882972229	124.825587443	2902.400	8227.000	SOSP	Louder section of song in 314 selected to avoid background calls
318	Spectrogram 1	1	121.989301374	122.427224692	2505.700	5846.600	SOSP	Louder section of song in 314 selected to avoid background calls
320	Spectrogram 1	1	125.178839463	125.525951707	3738.581	4387.111	EWPE	
321	Spectrogram 1	1	126.319607141	126.395413263	2517.820	3757.656	REVI	
322	Spectrogram 1	1	126.680683671	126.794392854	2403.374	4177.292	REVI	
323	Spectrogram 1	1	127.292804471	127.346666715	7019.377	7572.535	TUTI	
324	Spectrogram 1	1	127.745646307	127.813472837	7858.651	9232.007	TUTI	
325	Spectrogram 1	1	126.664411615	126.730243247	1144.464	1564.100	AMCR	
326	Spectrogram 1	1	127.071370798	127.149171818	1068.166	1583.175	AMCR	
327	Spectrogram 1	1	127.715722837	127.925187123	1487.803	3051.903	AMRO	
328	Spectrogram 1	1	128.156595286	128.296238142	2365.225	3204.498	AMRO	
329	Spectrogram 1	1	59.911436232	59.961308681	1392.431	2594.118	Green Frog	
330	Spectrogram 1	1	60.878961740	61.022594393	515.009	858.348	Chicken	
331	Spectrogram 1	1	34.611673787	35.002673787	515.009	858.348	Chicken	
332	Spectrogram 1	1	27.300569276	27.386349888	305.190	991.869	Green Frog	
333	Spectrogram 1	1	27.583844786	27.687579479	133.521	743.901	Green Frog	
334	Spectrogram 1	1	10.872449429	11.028051470	152.595	820.199	Green Frog	
335	Spectrogram 1	1	99.153774350	99.389172309	495.934	858.348	Chicken	
336	Spectrogram 1	1	100.671578556	100.773318352	209.818	686.678	Green Frog	
